name,country,overseas,role,batting_style,bowling_style,wicketkeeper,captain,active,aggressive_batter,opener,finisher,death_bowler,spinner,fast_bowler,orange_cap,purple_cap,teams,title_winner,retired
SC Ganguly,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KKR, PW",No,Yes
BB McCullum,New Zealand,Yes,Wicketkeeper,Left-hand,None,Yes,Yes,No,No,Yes,No,No,No,No,No,No,"CSK, GL, KKR, KTK, RCB",No,Yes
RT Ponting,Australia,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"KKR, MI",No,Yes
DJ Hussey,Australia,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, KKR, PBKS",No,Yes
Mohammad Hafeez,Pakistan,Yes,All-Rounder,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,KKR,No,Yes
R Dravid,India,No,Batter,Right-hand,None,No,Yes,No,No,Yes,No,No,No,No,No,No,"RCB, RR",No,Yes
W Jaffer,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RCB,No,Yes
V Kohli,India,No,Batter,Right-hand,Medium Pace,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,RCB,No,No
JH Kallis,South Africa,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,"KKR, RCB",No,Yes
CL White,England,Yes,Batter,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, RCB, SRH",No,Yes
MV Boucher,South Africa,Yes,Wicketkeeper,Right-hand,None,Yes,No,No,No,No,No,No,No,No,No,No,"KKR, RCB",No,Yes
B Akhil,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"KTK, RCB",No,Yes
AA Noffke,Australia,Yes,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
P Kumar,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"GL, MI, PBKS, RCB, SRH",No,Yes
Z Khan,India,No,Bowler,Right-hand,Fast,No,No,No,No,No,No,No,No,Yes,No,No,"DC, MI, RCB",No,Yes
SB Joshi,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RCB,No,Yes
PA Patel,India,No,Wicketkeeper,Right-hand,None,Yes,No,No,No,Yes,No,No,No,No,No,No,"CSK, DC_Old, KTK, MI, RCB, SRH",No,Yes
ML Hayden,Australia,Yes,Batter,Left-hand,None,No,No,No,No,Yes,No,No,No,No,Yes,No,CSK,No,Yes
MEK Hussey,Australia,Yes,Batter,Left-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"CSK, MI",No,Yes
MS Dhoni,India,No,Wicketkeeper,Right-hand,None,Yes,Yes,Yes,No,No,No,No,No,No,No,No,"CSK, RPS",No,No
SK Raina,India,No,All-Rounder,Left-hand,Off Spin,No,Yes,No,No,No,No,No,Yes,No,Yes,No,"CSK, GL",No,Yes
JDP Oram,New Zealand,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, MI, RR",No,Yes
S Badrinath,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,CSK,No,Yes
K Goel,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,PBKS,No,Yes
JR Hopes,Australia,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,"DC, PBKS",No,Yes
KC Sangakkara,Sri Lanka,Yes,Wicketkeeper,Left-hand,None,Yes,No,No,No,No,No,No,No,No,No,No,"DC_Old, PBKS, SRH",No,Yes
Yuvraj Singh,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, MI, PBKS, PW, RCB, SRH",No,Yes
SM Katich,Australia,Yes,Batter,Left-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,PBKS,No,Yes
IK Pathan,India,No,Bowler,Left-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, GL, PBKS, RPS, SRH",No,Yes
T Kohli,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"PBKS, RR",No,Yes
YK Pathan,India,No,All-Rounder,Left-hand,Medium Pace,No,Yes,No,No,No,No,No,No,Yes,No,No,"KKR, RR, SRH",No,Yes
SR Watson,Australia,Yes,Bowler,Right-hand,Medium Pace,No,Yes,No,No,No,No,No,No,Yes,No,No,"CSK, RCB, RR",No,Yes
M Kaif,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"PBKS, RCB, RR",No,Yes
DS Lehmann,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,RR,No,Yes
RA Jadeja,India,No,Bowler,Left-hand,Left-arm Spin,No,No,Yes,No,No,Yes,No,Yes,No,No,No,"CSK, GL, KTK, RR",No,No
M Rawat,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"PW, RR",No,Yes
D Salunkhe,India,No,Bowler,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
SK Warne,Australia,Yes,Bowler,Right-hand,Spin,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
SK Trivedi,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,RR,No,Yes
G Gambhir,India,No,Batter,Left-hand,None,No,Yes,No,No,Yes,No,No,No,No,Yes,No,"DC, KKR",No,Yes
V Sehwag,India,No,Batter,Right-hand,Medium Pace,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,"DC, PBKS",No,Yes
S Dhawan,India,No,Batter,Left-hand,Medium Pace,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,"DC, DC_Old, MI, PBKS, SRH",No,No
L Ronchi,New Zealand,Yes,Wicketkeeper,Right-hand,None,Yes,No,No,No,Yes,No,No,No,No,No,No,MI,No,Yes
ST Jayasuriya,Sri Lanka,Yes,All-Rounder,Left-hand,Medium Pace,No,No,No,No,Yes,No,No,No,Yes,No,No,MI,No,Yes
DJ Thornely,Australia,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
RV Uthappa,India,No,Wicketkeeper,Left-hand,None,Yes,Yes,No,No,No,No,No,No,No,No,No,"CSK, KKR, MI, PW, RCB, RR",No,No
PR Shah,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,"MI, RR",No,Yes
AM Nayar,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"MI, PBKS, PW, RR",No,Yes
SM Pollock,South Africa,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,MI,No,Yes
Harbhajan Singh,India,No,Bowler,Right-hand,Off Spin,No,No,No,No,No,Yes,No,Yes,No,No,No,"CSK, KKR, MI",No,Yes
S Chanderpaul,West Indies,Yes,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,RCB,No,Yes
LRPL Taylor,New Zealand,Yes,Batter,Right-hand,None,No,No,No,No,No,No,No,No,Yes,No,No,"DC, PW, RCB, RR",No,Yes
AC Gilchrist,Australia,Yes,Wicketkeeper,Left-hand,None,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,"DC_Old, PBKS",No,Yes
Y Venugopal Rao,India,No,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC, DC_Old, SRH",No,Yes
VVS Laxman,India,No,Batter,Right-hand,None,No,No,No,No,Yes,No,No,No,No,No,No,"DC_Old, KTK",No,Yes
A Symonds,Australia,Yes,Bowler,Left-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,Yes,No,"DC_Old, MI",No,Yes
RG Sharma,India,No,Batter,Right-hand,Medium Pace,No,Yes,Yes,No,No,No,No,No,Yes,No,No,"DC_Old, MI",No,No
SB Styris,New Zealand,Yes,All-Rounder,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"CSK, DC_Old",No,Yes
AS Yadav,India,No,Batter,Right-hand,None,No,No,No,No,No,No,No,No,No,No,No,DC_Old,No,Yes
SB Bangar,India,No,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,"DC_Old, KKR",No,Yes
WPUJC Vaas,Sri Lanka,Yes,Bowler,Right-hand,Medium Pace,No,No,No,No,No,No,No,No,Yes,No,No,DC_Old,No,Yes
RP Singh,India,No,Bowler,Left-hand,Fast,No,No,No,No,No,No,Yes,No,Yes,No,Yes,"DC_Old, KTK, MI, RCB, RPS",No,Yes
WP Saha,India,No,Wicketkeeper,Right-hand,None,Yes,No,Yes,No,No,No,No,No,No,No,No,"CSK, GT, KKR, PBKS, SRH",No,No
